hotel_id,address,rank,phone,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible,amenities,hotel_class
11,"458/4-8 Soi Lad Krabang 24/1, Lad Krabang Road, Lad Krabang District, Bangkok 10520, Thailand",#21,,614,238,42,9,4,Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Breakfast Available | Children Activities (Kid / Family Friendly) | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Shuttle Bus Service | Wheelchair access | Air conditioning | Microwave | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms | Suites,35
12,"22 Sukhumvit Soi 12, Klongtoey, Bangkok 10110, Thailand",#103,,757,529,107,30,17,Pool | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Room service | Bar/Lounge | Airport transportation | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Wheelchair access | Air conditioning | Minibar | Kitchenette | Non-smoking rooms | Smoking rooms available | Suites,40
13,"36 Narathiwart-Ratchanakarin Road, Yannawa, Bangkok 10120, Thailand",#127,,2491,1507,381,117,78,Pool | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Room service | Bar/Lounge | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Family Rooms | Non-smoking rooms | Suites,40
14,"19 Sukhumvit Soi 18, Sukhumvit Road, Klong Toei, Klong Toei, Bangkok 10110, Thailand",#158,02 261 7100,2562,2213,433,94,41,Pool | Free parking | Fitness Center with Gym / Workout Room | Room service | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Airport transportation | Banquet Room | Breakfast Available | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,45
15,"444 Phayathai Rd,, Wangmai, Pathumwan, Bangkok 10330, Thailand",#57,,4435,2068,402,100,67,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Spa | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Paid Internet | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,50
16,"341 Charoenkrung Rd. 91/1 Watprayakrai Bangkoleam, None, Bangkok 10120, Thailand",#174,,,,,,,,
17,"None, None, NoneNone",,,6045,1791,367,109,58,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Spa | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,50
18,"2 Charoen Krung Road Soi 30, Siphya, Bangrak, Bangkok 10500, Thailand",#121,00 1 844-631-0595,3128,1864,436,114,64,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free parking | Bar/Lounge | Spa | Free Internet | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Electric vehicle charging station | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
19,"No.6, Soi Petchburi 15, Petchburi Rd., Rajtaewee, Bangkok 10400, Thailand",#217,,551,782,197,39,25,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Free parking | Free High Speed Internet (WiFi) | Airport transportation | Babysitting | Banquet Room | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Sauna | Air conditioning | Microwave | Refrigerator in room | Accessible rooms | Family Rooms | Kitchenette | Non-smoking rooms | Suites,45
20,"None, None, NoneNone",,,2511,1464,309,54,55,Free High Speed Internet (WiFi) | Free parking | Restaurant | Bar/Lounge | Fitness Center with Gym / Workout Room | Pool | Room service | Spa | Adult pool | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Paid Internet | Public Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,40
21,"153 / 2 Soi Mahatlek Luang 1, Ratchadamri Road, None, Bangkok 10330, Thailand",#179,,990,671,155,47,31,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Self-Serve Laundry | Air conditioning | Microwave | Refrigerator in room | Accessible rooms | Family Rooms | Kitchenette | Non-smoking rooms | Smoking rooms available | Suites,50
22,"847 Phetchaburi Road, None, Bangkok 10400, Thailand",#97,02 653 9000,4651,2050,545,162,111,Pool | Restaurant | Room service | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Wheelchair access | Family Rooms | Non-smoking rooms | Suites,50
23,"1055 Silom Road, State Tower, Bangrak, Bangkok 10500, Thailand",#150,,5320,2012,685,260,193,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Free High Speed Internet (WiFi) | Bar/Lounge | Spa | Free parking | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms | Smoking rooms available | Suites,50
24,"123 Charoennakorn Road, Khlongtonsai, Khlongsan, Bangkok 10600, Thailand",#226,00 1 800-445-8667,3619,1989,649,281,170,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free parking | Bar/Lounge | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Paid Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
25,"43 / 17 Sukhumvit 11, None, Bangkok 10110, Thailand",#170,02 254 6544,632,227,90,34,31,Free High Speed Internet (WiFi) | Multilingual Staff | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,30
26,"403-403/1,407-407/1, Sukhumvit Road, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",#249,02 661 7262,447,443,104,31,10,Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Breakfast Available | Laundry Service | Non-smoking hotel | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Suites,30
27,"927 Rama 1 Rd, Wangmai, Bangkok 10330, Thailand",#238,,555,929,273,47,33,Bar/Lounge | Free High Speed Internet (WiFi) | Business Center with Internet Access | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Pets Allowed ( Dog / Pet Friendly ) | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,30
28,"392/44 Siam Square Soi 6, None, Bangkok 10330, Thailand",#206,02 209 8888,1717,2132,705,186,106,Restaurant | Room service | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Bar/Lounge | Pool | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,40
29,"1695 Phaholyothin Road, Chatuchak, Bangkok 10900, Thailand",#148,02 541 1234,887,702,186,61,35,Pool | Room service | Fitness Center with Gym / Workout Room | Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Spa | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
30,"None, None, NoneNone",,,6293,1662,244,59,28,Free High Speed Internet (WiFi) | Pool | Free parking | Room service | Restaurant | Bar/Lounge | Fitness Center with Gym / Workout Room | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms | Suites,45
31,"1880 New Petchburi Road, Bangkapi, Huay Kwang, Bangkok 10310, Thailand",#176,,1261,933,251,80,75,Pool | Restaurant | Fitness Center with Gym / Workout Room | Room service | Free Internet | Free parking | Bar/Lounge | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
32,"2 Sukhumvit Soi 19 , Sukhumvit Rd, Khlongtoei Nua, Bangkok 10110, Thailand",#105,,1455,909,238,64,54,Pool | Free parking | Fitness Center with Gym / Workout Room | Room service | Restaurant | Spa | Free High Speed Internet (WiFi) | Airport transportation | Banquet Room | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Tennis Court | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,50
33,"567 Rachaprarop Rd., Makkasan, Ratchathewi, Bangkok 10400, Thailand",#102,,,,,,,,
34,"21/100 South Sathon Road., Thai Wah Tower II, Bangkok 10120, Thailand",#56,02 679 1200,5763,1570,435,135,97,Pool | Room service | Fitness Center with Gym / Workout Room | Restaurant | Free parking | Bar/Lounge | Free High Speed Internet (WiFi) | Spa | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
35,"1777, New Phetchaburi Road, Bang Kapi, Huai Khwang, Bangkok 10310, Thailand",#8,02 262 8000,418,67,11,3,3,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,50
36,"865 Rama 1 Road, Wang Mai, Pathum Wan, Bangkok 10330, Thailand",#182,02 217 3000,2274,1697,512,164,93,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Bar/Lounge | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Non-smoking rooms | Suites,45
37,"16 Rachadapisek Road, BTS Asoke Station, Klongtoey, Bangkok 10110, Thailand",#191,02 263 5000,1548,1000,209,44,29,Pool | Room service | Free parking | Restaurant | Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Bar/Lounge | Airport transportation | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms,40
38,"None, None, NoneNone",,,618,55,14,1,2,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Spa | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,50
39,"81, Sukhumvit Soi 15, Sukhumvit Road,, Khlongtoey-Nuea, Wattana, Bangkok 10110, Thailand",#62,,1461,531,104,20,19,Free High Speed Internet (WiFi) | Pool | Free parking | Fitness Center with Gym / Workout Room | Room service | Restaurant | Bar/Lounge | Breakfast included | Airport transportation | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Non-smoking rooms,40
40,"55, Somdet Phra Chao Tak Sin Road, Bang Yi Ruea, Thon Buri, Bangkok 10600, Thailand",#96,02 862 0300,1046,477,77,14,9,Free High Speed Internet (WiFi) | Airport transportation | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms,35
41,"479-481 Yaowaraj Road, Samphantawong, Bangkok 10100, Thailand",#95,02 221 2121,1552,1007,232,69,33,Room service | Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Spa | Airport transportation | Banquet Room | Breakfast Available | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Non-smoking rooms | Suites,45
42,"413 Sukhumvit Road, Khlongtoei Nuea, Wattana, Bangkok 10110, Thailand",#165,,1079,620,204,65,45,Free High Speed Internet (WiFi) | Pool | Room service | Free parking | Restaurant | Fitness Center with Gym / Workout Room | Bar/Lounge | Breakfast included | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Air conditioning | Minibar | Non-smoking rooms | Smoking rooms available | Suites,40
43,"117/40-41 Kanchanaphisek Road, Soi Phayungthong, Saphan Sung, Bangkok 10250, Thailand",#71,02 348 2528,500,157,39,8,3,Free High Speed Internet (WiFi) | Pool | Room service | Free parking | Restaurant | Airport transportation | Concierge | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms,35
44,"89 Soi Wat Suan Plu, New Road, Bangrak, None, Bangkok 10500, Thailand",#26,,8274,1900,459,174,107,Fitness Center with Gym / Workout Room | Pool | Room service | Restaurant | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Spa | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Sauna | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
45,"6/22 Asoke-Sukhumvit Intersection, Ratchadapisek Rd., None, Bangkok 10110, Thailand",#209,02 229 4400,670,570,109,13,20,Free High Speed Internet (WiFi) | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
46,"440/58 Ratchawithi Soi 3, Ratchathewi,, Bangkok 10400, Thailand",#233,,93,93,25,8,8,Pool | Free parking | Restaurant | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Breakfast Available | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Refrigerator in room | Non-smoking rooms | Suites,35
47,"981 Silom Road, Bangrak, Bangkok 10500, Thailand",#129,00 1 877-859-5095,1284,1081,324,99,55,Fitness Center with Gym / Workout Room | Free High Speed Internet (WiFi) | Pool | Room service | Free parking | Restaurant | Bar/Lounge | Spa | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Pets Allowed ( Dog / Pet Friendly ) | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,40
48,"320 Silom Road, Bangrak, Bangkok 10500, Thailand",#73,,1936,1372,455,96,44,Restaurant | Fitness Center with Gym / Workout Room | Room service | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Pool | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,40
49,"489 Sukhumvit Road, Khlongtoey Nuea, Wattana, Bangkok 10110, Thailand",#166,02 302 3333,1381,703,175,70,78,Free High Speed Internet (WiFi) | Pool | Room service | Free parking | Restaurant | Bar/Lounge | Spa | Fitness Center with Gym / Workout Room | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
50,"265 Khaosan Rd. Taladyod Pranakorn, None, Bangkok 10200, Thailand",#228,,509,619,248,70,62,Pool | Free High Speed Internet (WiFi) | Room service | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Sauna | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms,35
51,"21/4 Soi Sukhumvit 11 , Sukhumvit Road, Klongton Nua, Wattana, None, Bangkok 10110, Thailand",#180,,871,580,165,60,52,Free High Speed Internet (WiFi) | Room service | Restaurant | Bar/Lounge | Breakfast included | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Public Wifi | Air conditioning | Minibar | Refrigerator in room | Non-smoking rooms | Smoking rooms available,40
52,"999/99 Rama 1 Road, Pathumwan, Bangkok 10330, Thailand",#125,,1805,1134,341,104,77,Pool | Fitness Center with Gym / Workout Room | Room service | Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Spa | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
53,"65 Sukhumvit Soi 1, Khlong Toei Nuea, Wattana, Bangkok 10110, Thailand",#7,02 254 8880,1421,241,29,7,4,Pool | Restaurant | Free High Speed Internet (WiFi) | Room service | Free parking | Spa | Breakfast included | Airport transportation | Concierge | Dry Cleaning | Laundry Service | Multilingual Staff | Non-smoking hotel | Outdoor pool | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Non-smoking rooms | Suites,40
54,"42 Rambuttri Road, Banglampu, Bangkok 10200, Thailand",#90,02 280 5434,487,544,276,59,41,Restaurant | Free High Speed Internet (WiFi) | Bar/Lounge | Breakfast included | Pool | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Accessible rooms | Family Rooms | Non-smoking rooms,30
